user_id,event_name,event_time
1,visited_homepage,2024-03-07 08:00:00
1,clicked_upgrade,2024-03-28 05:37:00
2,visited_homepage,2024-01-18 11:00:00
2,viewed_feature,2024-01-21 07:54:00
2,viewed_feature,2024-01-28 08:10:00
2,viewed_feature,2024-01-31 09:25:00
2,viewed_feature,2024-02-01 09:01:00
2,viewed_feature,2024-02-23 15:27:00
3,visited_homepage,2024-03-24 15:00:00
3,viewed_feature,2024-03-24 23:13:00
3,browsed_pricing,2024-03-25 09:44:00
3,browsed_pricing,2024-03-28 16:34:00
3,clicked_upgrade,2024-04-02 04:33:00
3,browsed_pricing,2024-04-02 05:57:00
3,returned_visit,2024-04-12 10:27:00
3,viewed_feature,2024-04-13 02:19:00
4,visited_homepage,2024-02-27 16:00:00
4,viewed_feature,2024-02-29 05:24:00
4,used_advanced_feature,2024-03-23 05:23:00
4,viewed_feature,2024-04-04 21:52:00
4,used_advanced_feature,2024-04-07 16:14:00
5,visited_homepage,2024-03-27 18:00:00
5,viewed_feature,2024-03-29 06:19:00
5,viewed_feature,2024-03-29 17:56:00
5,browsed_pricing,2024-04-01 16:13:00
5,viewed_feature,2024-04-05 05:45:00
5,browsed_pricing,2024-04-11 01:52:00
5,viewed_feature,2024-04-28 19:38:00
6,visited_homepage,2024-02-17 09:00:00
6,returned_visit,2024-02-17 19:08:00
6,viewed_feature,2024-02-18 04:25:00
6,viewed_feature,2024-02-21 21:10:00
6,browsed_pricing,2024-02-26 00:28:00
6,browsed_pricing,2024-03-02 02:13:00
6,browsed_pricing,2024-03-03 17:48:00
7,visited_homepage,2024-03-14 18:00:00
7,returned_visit,2024-03-30 16:10:00
7,returned_visit,2024-04-07 05:40:00
7,viewed_feature,2024-04-18 16:26:00
7,viewed_feature,2024-04-24 16:04:00
8,visited_homepage,2024-02-02 10:00:00
8,viewed_feature,2024-02-09 03:56:00
8,used_advanced_feature,2024-02-10 22:47:00
8,used_advanced_feature,2024-02-24 10:46:00
8,browsed_pricing,2024-02-24 13:09:00
8,clicked_upgrade,2024-02-27 07:27:00
8,used_advanced_feature,2024-03-08 07:23:00
8,viewed_feature,2024-03-12 00:07:00
9,visited_homepage,2024-02-16 16:00:00
9,browsed_pricing,2024-03-20 09:47:00
10,visited_homepage,2024-01-26 11:00:00
10,returned_visit,2024-02-05 15:54:00
10,viewed_feature,2024-02-08 18:52:00
10,viewed_feature,2024-02-24 16:18:00
11,visited_homepage,2024-03-24 14:00:00
11,browsed_pricing,2024-03-25 04:37:00
11,clicked_upgrade,2024-04-05 17:05:00
11,used_advanced_feature,2024-04-11 19:15:00
11,viewed_feature,2024-04-12 18:58:00
11,returned_visit,2024-04-13 22:05:00
12,visited_homepage,2024-03-19 19:00:00
12,viewed_feature,2024-04-25 16:34:00
13,visited_homepage,2024-02-06 20:00:00
13,viewed_feature,2024-03-13 22:04:00
13,returned_visit,2024-03-15 16:14:00
14,visited_homepage,2024-03-21 20:00:00
14,viewed_feature,2024-03-31 21:16:00
14,browsed_pricing,2024-04-06 03:40:00
14,browsed_pricing,2024-04-09 08:37:00
14,used_advanced_feature,2024-04-10 00:50:00
14,clicked_upgrade,2024-04-26 19:23:00
15,visited_homepage,2024-03-09 16:00:00
15,used_advanced_feature,2024-03-10 14:18:00
15,returned_visit,2024-03-11 02:01:00
15,viewed_feature,2024-04-07 23:02:00
16,visited_homepage,2024-02-19 20:00:00
16,browsed_pricing,2024-02-20 11:01:00
16,viewed_feature,2024-02-26 15:13:00
16,clicked_upgrade,2024-03-01 20:50:00
16,viewed_feature,2024-03-02 05:12:00
16,returned_visit,2024-03-14 15:58:00
16,viewed_feature,2024-03-26 01:04:00
17,visited_homepage,2024-02-25 10:00:00
17,viewed_feature,2024-03-04 08:58:00
17,viewed_feature,2024-03-10 17:59:00
17,browsed_pricing,2024-03-24 17:15:00
18,visited_homepage,2024-03-08 19:00:00
18,used_advanced_feature,2024-03-12 05:04:00
18,browsed_pricing,2024-03-19 19:14:00
18,browsed_pricing,2024-03-29 13:08:00
19,visited_homepage,2024-01-03 20:00:00
19,returned_visit,2024-01-14 08:36:00
19,returned_visit,2024-02-05 11:58:00
19,viewed_feature,2024-02-13 01:10:00
20,visited_homepage,2024-03-25 12:00:00
20,viewed_feature,2024-04-12 01:28:00
20,viewed_feature,2024-04-29 11:43:00
20,viewed_feature,2024-05-03 03:33:00
21,visited_homepage,2024-02-09 09:00:00
21,returned_visit,2024-02-13 15:29:00
21,browsed_pricing,2024-03-14 03:09:00
22,visited_homepage,2024-03-07 16:00:00
22,browsed_pricing,2024-03-27 15:58:00
22,browsed_pricing,2024-04-07 15:55:00
